player,matches_played,total_runs,balls_faced,total_4s,total_6s,extras_given,runs_given,wickets_taken,overs_bowled,player_code
A Choudhary,3.0,25.0,20.0,1.0,1.0,7.0,144.0,5.0,18.0,414
JJ Roy,21.0,614.0,460.0,75.0,21.0,0.0,0.0,0.0,0.0,415
Vishnu Vinod,6.0,56.0,58.0,3.0,3.0,0.0,0.0,0.0,0.0,416
Basil Thampi,6.0,30.0,32.0,1.0,1.0,33.0,806.0,24.0,82.66666666666667,417
CR Woakes,11.0,77.0,74.0,7.0,2.0,37.0,617.0,28.0,70.0,418
V Shankar,58.0,1115.0,890.0,80.0,45.0,21.0,344.0,12.0,43.0,419
Rashid Khan,57.0,542.0,351.0,39.0,38.0,117.0,3304.0,154.0,475.5,420
C de Grandhomme,20.0,267.0,210.0,15.0,16.0,22.0,302.0,7.0,36.0,421
Mohammad Nabi,19.0,221.0,157.0,18.0,12.0,13.0,527.0,15.0,69.83333333333333,422
AJ Tye,13.0,91.0,79.0,6.0,5.0,54.0,987.0,43.0,114.83333333333333,423
K Rabada,28.0,206.0,207.0,16.0,8.0,166.0,2652.0,126.0,317.8333333333333,424
Kuldeep Yadav,32.0,183.0,224.0,16.0,3.0,74.0,2347.0,87.0,289.6666666666667,425
S Badree,3.0,11.0,16.0,0.0,0.0,20.0,266.0,9.0,35.833333333333336,426
AR Bawne,1.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,427
SP Jackson,7.0,51.0,48.0,3.0,1.0,0.0,0.0,0.0,0.0,428
Ankit Soni,2.0,7.0,8.0,0.0,1.0,2.0,128.0,4.0,14.5,429
AF Milne,4.0,16.0,20.0,0.0,1.0,19.0,272.0,6.0,27.833333333333332,430
MN Samuels,3.0,2.0,10.0,0.0,0.0,0.0,22.0,0.0,2.0,431
TA Boult,22.0,83.0,82.0,5.0,3.0,149.0,3286.0,128.0,404.6666666666667,432
E Lewis,26.0,654.0,499.0,62.0,36.0,0.0,0.0,0.0,0.0,433
DL Chahar,11.0,66.0,55.0,2.0,4.0,92.0,2126.0,78.0,278.1666666666667,434
MA Wood,3.0,12.0,10.0,1.0,1.0,20.0,192.0,11.0,21.166666666666668,435
RK Singh,40.0,893.0,654.0,67.0,46.0,0.0,0.0,0.0,0.0,436
DJM Short,7.0,115.0,102.0,11.0,5.0,4.0,23.0,1.0,3.0,437
BA Stokes,32.0,619.0,491.0,59.0,17.0,45.0,696.0,17.0,74.83333333333333,438
RA Tripathi,79.0,1845.0,1375.0,180.0,67.0,0.0,0.0,0.0,0.0,439
K Gowtham,27.0,247.0,159.0,15.0,17.0,28.0,825.0,22.0,99.83333333333333,440
TK Curran,10.0,127.0,108.0,10.0,3.0,16.0,432.0,13.0,42.0,441
M Markande,10.0,48.0,44.0,5.0,1.0,30.0,1081.0,37.0,122.83333333333333,442
B Stanlake,1.0,5.0,2.0,1.0,0.0,6.0,200.0,7.0,25.0,443
Mujeeb Ur Rahman,6.0,12.0,15.0,2.0,0.0,34.0,598.0,20.0,75.33333333333333,444
Washington Sundar,33.0,369.0,329.0,32.0,9.0,20.0,1146.0,30.0,147.0,445
A Dananjaya,1.0,4.0,5.0,0.0,0.0,1.0,47.0,0.0,4.166666666666667,446
Shubman Gill,99.0,3216.0,2432.0,310.0,95.0,0.0,0.0,0.0,0.0,447
Shivam Mavi,11.0,51.0,58.0,4.0,2.0,55.0,958.0,33.0,114.5,448
Mohammed Siraj,20.0,109.0,122.0,10.0,4.0,217.0,2851.0,96.0,342.8333333333333,449
H Klaasen,32.0,993.0,613.0,56.0,64.0,0.0,0.0,0.0,0.0,450
RK Bhui,4.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,451
JC Archer,23.0,199.0,132.0,11.0,14.0,85.0,1210.0,49.0,164.5,452
PP Shaw,79.0,1892.0,1321.0,238.0,61.0,0.0,0.0,0.0,0.0,453
LE Plunkett,2.0,1.0,3.0,0.0,0.0,7.0,228.0,4.0,25.666666666666668,454
Mustafizur Rahman,6.0,13.0,23.0,0.0,1.0,86.0,1744.0,70.0,219.16666666666666,455
AD Hales,6.0,148.0,119.0,13.0,6.0,0.0,0.0,0.0,0.0,456
MK Lomror,35.0,527.0,389.0,33.0,30.0,4.0,127.0,2.0,15.666666666666666,457
M Ashwin,11.0,35.0,49.0,2.0,1.0,40.0,937.0,28.0,120.33333333333333,458
DR Shorey,2.0,13.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,459
